2026-05-25 23:00:39,863 | INFO     | server               | ============================================================
2026-05-25 23:00:39,864 | INFO     | server               | CORE SERVICE INITIALIZATION
2026-05-25 23:00:39,864 | INFO     | server               | ============================================================
2026-05-25 23:00:39,864 | INFO     | server               | Creating Core instance...
2026-05-25 23:00:39,865 | INFO     | main_module          | ==================================================
2026-05-25 23:00:39,865 | INFO     | main_module          | Core module initialization started
2026-05-25 23:00:39,865 | DEBUG    | main_module          | Initializing Filter module...
2026-05-25 23:00:39,865 | INFO     | modules.filter.filter | Initializing Filter module...
2026-05-25 23:00:39,865 | DEBUG    | modules.filter.filter | Loading STT filter model...
2026-05-25 23:00:39,865 | INFO     | modules.filter.stt_filter.stt_filter | Initializing SttFilter...
2026-05-25 23:00:39,865 | DEBUG    | modules.filter.stt_filter.stt_filter | Loading SttImpModel...
2026-05-25 23:00:39,865 | INFO     | modules.filter.stt_filter.imp_model.imp_model | Initializing SttImpModel...
2026-05-25 23:00:39,865 | DEBUG    | modules.filter.stt_filter.imp_model.imp_model | Loading Model...
2026-05-25 23:00:39,915 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.pytorch_attention.init | MultiHeadAttention initialized
2026-05-25 23:00:39,916 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.pytorch_attention.init | MultiHeadAttentionlConfig: d_model=256, heads=8
2026-05-25 23:00:39,922 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.feedforward.init | Feedforward initialized
2026-05-25 23:00:39,922 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.feedforward.init | FeedforwardlConfig: d_model=256, d_ff=1024
2026-05-25 23:00:39,923 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.encoder.init | Encoder initialized
2026-05-25 23:00:39,923 | INFO     | modules.filter.stt_filter.imp_model.models.own_model.transformer.encoder.init | EncoderlConfig: d_model=256, heads=8, d_ff=1024, dropout=0.31622776601683794
2026-05-25 23:00:39,971 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-25 23:00:40,001 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x78fa3aa4a140>
2026-05-25 23:00:40,001 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x78fa3aa5aac0> server_hostname='huggingface.co' timeout=10
2026-05-25 23:00:40,029 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x78fa3aa4a290>
2026-05-25 23:00:40,029 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,029 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-25 23:00:40,029 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,029 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-25 23:00:40,029 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,182 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'238'), (b'Connection', b'keep-alive'), (b'Date', b'Mon, 25 May 2026 20:00:40 GMT'), (b'Location', b'/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json?%2Fboltuix%2Fbert-lite%2Fresolve%2Fmain%2Fconfig.json=&etag=%2281ba83673fa0d07fc98d4ba418715df42ab28a6f%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a14aa68-6ab830fc6d35270e1a3f3928;d538bf91-9626-459e-8c10-a50d27f6ada2'), (b'RateLimit', b'"resolvers";r=4999;t=15'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 dcfa20c2a21f99a696b77f7b84e39586.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'ARN53-P3'), (b'X-Amz-Cf-Id', b'bkcHT2N019SW7ie9RQSYrxF19iLuaOQOw2xb8TRbmgqMrQu5VyZ4hw==')])
2026-05-25 23:00:40,183 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/boltuix/bert-lite/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-25 23:00:40,184 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,185 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-25 23:00:40,185 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-25 23:00:40,185 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-25 23:00:40,186 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,187 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-25 23:00:40,187 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-25 23:00:40,187 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-25 23:00:40,187 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
